appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
371400,Downpour,game,0.99,"2015-05-14 00:00:00",-1,0,0,371400,Action
371400,Downpour,game,0.99,"2015-05-14 00:00:00",-1,0,0,371400,Indie
371400,Downpour,game,0.99,"2015-05-14 00:00:00",-1,0,0,371400,Simulation
375010,"Energy Balance",game,2.99,"2015-07-02 00:00:00",-1,0,0,375010,Casual
375010,"Energy Balance",game,2.99,"2015-07-02 00:00:00",-1,0,0,375010,Indie
376770,"Big Thinkers 1st Grade",game,6.99,"2015-08-18 00:00:00",-1,0,0,376770,Casual
380210,"Signal to Noise",game,12.99,"2015-11-20 00:00:00",-1,0,0,380210,Action
380210,"Signal to Noise",game,12.99,"2015-11-20 00:00:00",-1,0,0,380210,Indie
385630,"Cosmic Rocket Defender",game,3.99,"2015-07-17 00:00:00",-1,0,0,385630,Action
385630,"Cosmic Rocket Defender",game,3.99,"2015-07-17 00:00:00",-1,0,0,385630,Indie
388090,"Five Nights at Freddy's 4",game,7.99,"2015-07-23 00:00:00",51,0,0,388090,Action
388090,"Five Nights at Freddy's 4",game,7.99,"2015-07-23 00:00:00",51,0,0,388090,Indie
388090,"Five Nights at Freddy's 4",game,7.99,"2015-07-23 00:00:00",51,0,0,388090,Strategy
390660,"Call of Tomsk-7",game,0.99,"2015-08-10 00:00:00",-1,0,0,390660,Action
390660,"Call of Tomsk-7",game,0.99,"2015-08-10 00:00:00",-1,0,0,390660,Indie
398920,"Tisnart Tiles",game,5.99,"2015-08-31 00:00:00",-1,0,0,398920,Casual
398920,"Tisnart Tiles",game,5.99,"2015-08-31 00:00:00",-1,0,0,398920,Indie
402670,"Space Thinger",game,4.99,"2015-09-25 00:00:00",-1,0,0,402670,Action
402670,"Space Thinger",game,4.99,"2015-09-25 00:00:00",-1,0,0,402670,Indie
402670,"Space Thinger",game,4.99,"2015-09-25 00:00:00",-1,0,0,402670,Simulation
405540,"Ninja Senki DX",game,4.99,"2016-02-23 00:00:00",72,0,0,405540,Action
405540,"Ninja Senki DX",game,4.99,"2016-02-23 00:00:00",72,0,0,405540,Indie
407020,"Star Sky - ??????",game,3.99,"2015-10-23 00:00:00",-1,0,0,407020,Adventure
407020,"Star Sky - ??????",game,3.99,"2015-10-23 00:00:00",-1,0,0,407020,Casual
407020,"Star Sky - ??????",game,3.99,"2015-10-23 00:00:00",-1,0,0,407020,Indie
407060,AltspaceVR,game,0,"2016-03-31 00:00:00",-1,0,0,407060,"Web Publishing"
409510,"Genesis Online",game,0,"2015-11-10 00:00:00",-1,0,1,409510,Action
409510,"Genesis Online",game,0,"2015-11-10 00:00:00",-1,0,1,409510,"Free to Play"
409690,"Pink Heaven",game,0,"2015-11-03 00:00:00",-1,0,0,409690,Action
409690,"Pink Heaven",game,0,"2015-11-03 00:00:00",-1,0,0,409690,"Free to Play"
409690,"Pink Heaven",game,0,"2015-11-03 00:00:00",-1,0,0,409690,Indie
410550,"Tank: M1A1 Abrams Battle Simulation",game,6.99,"2015-11-13 00:00:00",-1,0,0,410550,Simulation
418960,Catorize,game,2.99,"2015-11-11 00:00:00",-1,0,0,418960,Action
418960,Catorize,game,2.99,"2015-11-11 00:00:00",-1,0,0,418960,Adventure
418960,Catorize,game,2.99,"2015-11-11 00:00:00",-1,0,0,418960,Casual
418960,Catorize,game,2.99,"2015-11-11 00:00:00",-1,0,0,418960,Indie
427480,"FritzChess 15",game,64.99,"2016-02-22 00:00:00",-1,0,1,427480,Strategy
431240,"Golf With Friends",game,5.99,"2016-01-29 00:00:00",-1,0,1,431240,Casual
431240,"Golf With Friends",game,5.99,"2016-01-29 00:00:00",-1,0,1,431240,"Early Access"
431240,"Golf With Friends",game,5.99,"2016-01-29 00:00:00",-1,0,1,431240,Indie
431240,"Golf With Friends",game,5.99,"2016-01-29 00:00:00",-1,0,1,431240,Sports
432780,"Dream Catcher Chronicles: Manitou",game,9.99,"2016-02-11 00:00:00",-1,0,0,432780,Adventure
432780,"Dream Catcher Chronicles: Manitou",game,9.99,"2016-02-11 00:00:00",-1,0,0,432780,Casual
434870,"Megalo Polis",game,9.99,"2016-02-26 00:00:00",-1,0,0,434870,"Early Access"
434870,"Megalo Polis",game,9.99,"2016-02-26 00:00:00",-1,0,0,434870,Indie
434870,"Megalo Polis",game,9.99,"2016-02-26 00:00:00",-1,0,0,434870,Strategy
440720,"Pandora`s room",game,8.99,"2016-03-29 00:00:00",-1,0,0,440720,Adventure
440720,"Pandora`s room",game,8.99,"2016-03-29 00:00:00",-1,0,0,440720,"Early Access"
440720,"Pandora`s room",game,8.99,"2016-03-29 00:00:00",-1,0,0,440720,Indie
440720,"Pandora`s room",game,8.99,"2016-03-29 00:00:00",-1,0,0,440720,Simulation
447240,"Zasa - An AI Story",game,0.99,"2016-04-11 00:00:00",-1,0,0,447240,Casual
447240,"Zasa - An AI Story",game,0.99,"2016-04-11 00:00:00",-1,0,0,447240,Indie
449770,"Legend of Moros",game,5.99,"2016-03-03 00:00:00",-1,0,0,449770,Indie
449770,"Legend of Moros",game,5.99,"2016-03-03 00:00:00",-1,0,0,449770,RPG
449770,"Legend of Moros",game,5.99,"2016-03-03 00:00:00",-1,0,0,449770,Strategy
453960,"Envy the Dead",game,4.99,"2016-04-25 00:00:00",-1,0,0,453960,"Early Access"
453960,"Envy the Dead",game,4.99,"2016-04-25 00:00:00",-1,0,0,453960,RPG
453960,"Envy the Dead",game,4.99,"2016-04-25 00:00:00",-1,0,0,453960,Simulation
453960,"Envy the Dead",game,4.99,"2016-04-25 00:00:00",-1,0,0,453960,Strategy
456780,"DUCATI - 90th Anniversary",game,0,"2016-06-01 00:00:00",-1,0,1,456780,Racing
456780,"DUCATI - 90th Anniversary",game,0,"2016-06-01 00:00:00",-1,0,1,456780,Simulation
456780,"DUCATI - 90th Anniversary",game,0,"2016-06-01 00:00:00",-1,0,1,456780,Sports
461680,"Drone Racing",game,9.99,"2016-04-28 00:00:00",-1,0,1,461680,"Early Access"
461680,"Drone Racing",game,9.99,"2016-04-28 00:00:00",-1,0,1,461680,Racing
461680,"Drone Racing",game,9.99,"2016-04-28 00:00:00",-1,0,1,461680,Simulation
